"source_artifact_name"	"artifact_category"	"source_size"	"source_checksum"	"publication_action"	"exclusion_reason"	"published_relative_path"	"published_checksum"
"run/activation_readiness_summary.json"	"closure_artifact"	"226"	"d6be4d9744f54294ff267b198c12d1d1025e1d6faddffbdea91d8e51c4db4812"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/artifact_compatibility.json"	"closure_artifact"	"655"	"944c804ca623c0a000ea13ea7badc9355a323f2ee41570bc5ad2d8dceb6e6050"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/ablation_metrics.tsv"	"closure_artifact"	"1126"	"eebef982a8b670572fe4bdadde23669417e9e3c3b8540bb896c6decc67a54716"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/baseline_metrics.json"	"closure_artifact"	"3967"	"28a4530d855fbdb6616fa98d66f1f0f943bb97897f59373b2e9188946afdcb83"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/benchmark_coverage.json"	"closure_artifact"	"159"	"f69f4591f7c466dda5c8017443e81d6d091c521d2fb3406d6ecd563f8c46f221"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/benchmark_report.md"	"closure_artifact"	"207"	"ceecc72c69ff8f719d3b52fab3a0c1a2ecac719118d19ead12e21547cafa8307"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/candidate_metrics.json"	"closure_artifact"	"8671"	"ff01e9ff93f0c79e03a178d556d2b14249038af0ecb176083550d95e6eb31474"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/control_results.tsv"	"closure_artifact"	"7012"	"bfc566b0416b0494775574234f462cb6427e0774c182ec0b3210d8aefa373de5"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/dependency_benchmark_manifest.json"	"closure_artifact"	"1223"	"79b6ec51407f77b454e9751243ee1f9617140475981a199da27cd063e88c989f"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/enrichment_results.json"	"closure_artifact"	"5343"	"fbd99855c68b522bdac7676038616d7637e4f708ea3e1c9d7ae370e34f299379"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/integration_evidence.json"	"closure_artifact"	"264"	"26698cf93322f38dea7649d3db720ec9f9f872cdc3613fb61b04c6f495b3f8da"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/partition_metrics.tsv"	"closure_artifact"	"3396"	"007a0c29e2cd7bc625fdb4c16e3e71dfbd9664570bf295099de1b9a0233d04d2"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/rank_comparison.tsv"	"closure_artifact"	"10047"	"abafdd5e8a60154f948806e95e05a8b3ac1848ba7d32cd3ffddddad95611ba5c"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/benchmark/resistance_axis_metrics.tsv"	"closure_artifact"	"680"	"8d4e341254f92ef78e3b33ad6d52493db270ccc4610a2278fd85c6d29016c5ca"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/human_release_actions.json"	"closure_artifact"	"382"	"2e8ab2a4caabb626adf2cd2a9411630b61e622bf4911d67df9046ad78dd0f557"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_full/coverage_summary.json"	"closure_artifact"	"855"	"f75d3e0695c2e7e8e8716d90d37e15ddd2e82aaf3fd16bdda3e4525bac0c2283"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
